,title,area,numberOfRooms,price,town,district
4524,"3+1 KARTAL MERKEZDE,OFİS OLABİLECEK,ARA KAT DAİRE",140,3+1,6.000,Rahmanlar, (Atalar)Yukarı Mh.
4525,Marmaraya yakın deniz manzaralı 3+1 site içinde geniş daire,140,3+1,8.750,Rahmanlar, (Atalar)Kordonboyu Mah.
4526,MEŞELİ AYAZMA CAD.KİRALIK 3+1 EŞYALI ULTRA LÜX DENİZ MANZARALI,150,3+1,26.000,Topselvi,Çavuşoğlu Mh.
4527,REMLAKS'tan KARTAL HÜRRİYET MH. YAKIN KİRALIK FUL EŞYALI DAİRE,95,2+1,5.500,Yakacık,Hürriyet Mh.
4528,ŞEHR-İ DENİZ KARTAL'DA MUHTEŞEM DENİZ MANZARALI KİRALIK DAİRE,140,2+1,7.000,Yakacık,Hürriyet Mh.
4529,KADINLAR İÇİN 1 KİŞİLİK PANSİYON/YURT ODASI-FATURA AİDAT DAHİL,45,1+0,5.000,Dragos,Orhantepe Mah.
4530,HİLL KARTAL EMLAK OFİSİNDEN 12.KATTA 85 M2 DENİZ MANZARALI DAİRE,85,2+1,6.500,Yakacık,Hürriyet Mh.
4531,MANZARA ADALAR UZMANI PELİN IŞIN DAN DENİZ MANZARALI 1+1,98,1+1,7.000,Esentepe,Karlıktepe Mh.
4532,ESENTEPE MAHALLESİNDE KİRALIK 3+1 DAİRE,100,3+1,6.500,Esentepe,
4533,PARK34 DE YÜKSEK KAT DENİZ MANZARALI 2+1 KİRALIK,110,2+1,15.000,Topselvi,Yunus Mah.
4534,"İSTMarina AVM Lebiderya Deniz & Adalar Manzaralı, Eşyalı 3-6 Ay",45,1+0,12.000,Rahmanlar, (Atalar)Kordonboyu Mah.
4535,UĞURMUMCU DA KİRALIK DAİRE,110,2+1,6.000,Uğurmumcu,Uğur Mumcu Mh.
4536,ADALILAR'DAN YAKACIK YENİ MAHALLEDE KİRALIK 2+1 TERS DUBLEKS,95,2+1,4.950,Yakacık,Yakacık Yeni Mh.
4537,İlkemCity den Upcity Flats Kapalı Mutfak Kiralık 2+1 Daire,91,2+1,7.500,Uğurmumcu,Uğur Mumcu Mh.
4538,İSTANBUL KARTAL UĞURMUMCU MAHALLESİ 2+1 KİRALIK DAİRE,100,2+1,6.600,Uğurmumcu,Uğur Mumcu Mh.
4539,İSTMARİNA'DA KONUTLARDA EŞYALI 1+1 KİRALIK!!!,66,1+1,12.000,Rahmanlar, (Atalar)Kordonboyu Mah.
4540,KADINLAR İÇİN 2 KİŞİLİK PANSİYON/YURT ODASI-FATURA AİDAT DAHİL,45,1+0,4.000,Dragos,Orhantepe Mah.
4541,PROPAVİSTA'DA BÜYÜK M2 METROYA 100 M. KİRALIK 1+1 DAİRE,82,1+1,7.000,Yakacık,Cumhuriyet Mah.
4542,Kartal Çavuşoğlunda 3+1 Kiralık Daire,135,3+1,7.500,Topselvi,Çavuşoğlu Mh.
4543,ADALAR MANZARALI TERASLI KARTAL'DA KİRALIK 2+1 KW ELA'DAN...,141,2+1,14.000,Soğanlık,Soğanlık Yeni Mh.
4544,"KARTAL TUAL ADALARDA 2,5+1 FUL EŞYALI KİRALIK 12. KATTA LÜKS",120,2.5+1,15.500,Yakacık,Yakacık Yeni Mh.
4545,NEGS'DEN KARTAL NEW YAKACIK SİTESİN'DE 2+1 KİRALIK DAİRE,98,2+1,8.500,Yakacık,Cumhuriyet Mah.
4546,"MUHTEŞEM DENİZ VE ADALAR MANZARALI, TERASLI 2+1 DAİRE KW ELA'DAN",109,2+1,12.000,Soğanlık,Soğanlık Yeni Mh.
4547,GÜVEN EMLAKTAN KARTAL HÜRRÜYET MAH KİRALIK 3+1 DAİRE,130,3+1,5.000,Yakacık,Hürriyet Mh.
4548,KAYA EMLAK'TAN MERKEZDE SİTE 3+1 KAROT ÇALİŞMASI MAHKEMELİK,140,3+1,6.000,Uğurmumcu,Uğur Mumcu Mh.
4549,Adliyeye yürüme mesafesi 3+1 müstakil giriş imkanlı iki balkonlu,160,3+1,10.000,Orhantepe,Cevizli Mah.
4550,MERTCAN'DAN SİTE İÇİ 3+1 KAPALI OTOPARKLI 110m2 AYRI WCLİ DAİRE,110,3+1,6.500,Yakacık,Hürriyet Mh.
4551,"Vizyon Kartal Residence Kiralık 2+1 Deniz Manzaralı Klima, Perde",95,2+1,8.500,Esentepe,
4552,DAP TERAS KULE DE 1+0 DENİZ MANZARALI DAİRE,63,1+0,5.250,Topselvi,
4553,YAKACIK AYAZMA KORU EVLERİ'nde 4.KAT 140m² KİRALIK 3+1 DAİRE,140,3+1,6.500,Yakacık,Hürriyet Mh.
4554,KARTAL ESENTEPE AND PASTELDE KİRALIK 2+1 DAİRE,92,2+1,8.000,Esentepe,
4555,KADINLAR İÇİN 3 KİŞİLİK PANSİYON/YURT ODASI-FATURA AİDAT DAHİL,45,1+0,3.500,Dragos,Orhantepe Mah.
4556,MALTEPE CEVİZLİ DENİZ MANZARALI SIFIR EŞYALI ZERO FURNITURE 1+0,55,1+0,6.500,Orhantepe,Cevizli Mah.
4557,Kartal Denge de 3+1 Kiralık Daire,125,3+1,9.500,Soğanlık,Gümüşpınar Mh.
4558,DAP İSTMARİNA EŞYALI ÇİFT CEPHE KİRALIK 1+1 DAİRE,90,1+1,14.500,Rahmanlar, (Atalar)Kordonboyu Mah.
4559,KARTAL TUAL ADALAR REZİDANS'TA FULL EŞYALI 2+1 DAİRE,133,2+1,12.000,Yakacık,Yakacık Yeni Mh.
4560,Kartal Yakacık Yeni mahallede KİRALIK 3+1 daire,158,3+1,6.250,Yakacık,Yakacık Yeni Mh.
4561,KARTAL KORDONBOYUNDA SİTEDE MUHTEŞEM EŞYALI 3+1 GENİŞ DAİRE,190,3+1,25.500,Rahmanlar, (Atalar)Kordonboyu Mah.
4562,ROYAL GARDEN KARTAL TEK YETKİLİDEN DENİZ MANZARALI 3+1 GENİŞ,179,3+1,17.000,Esentepe,Karlıktepe Mh.
4563,KARTAL ADAM KULE REZİNDAN 1+0 EŞYALI KİRALIK DAİRE HALİL GÜLER,41,1+0,6.000,Orhantepe,Cevizli Mah.
4564,Dap Teras Kule| Geniş Kiralık 1+1 Daire,98,1+1,8.000,Topselvi,
4565,KARTAL 0 BİNADA 112 AD. KİRALIK DAİRE-OFİS (AÇIKLAMAYI OKUYUN),65,1+1,5.250,Soğanlık,Orta Mah.
4566,IST MARİNADA KİRALIK DENİZ MANZARALI 1+0 EŞYALI TESLİM EDİLECEK,52,1+0,7.500,Rahmanlar, (Atalar)Kordonboyu Mah.
4567,ANADOLU ADALET SARAYININ HEMEN KARŞISINDA HOME OFFİCE FIRSAT 1+1,68,1+1,6.000,Orhantepe,Cevizli Mah.
4568,KARTAL'DA 1-12 AY KİRALAMAYA UYGUN 1+1 EŞYALI KİRALIK DAİRE,78,1+1,12.900,Esentepe,
4569,YAKACIK YENİ MAHALLE'DE SİTE ÖZELLİKLİ 2+1 80m2 ADALAR MANZARALI,80,2+1,5.000,Yakacık,Yakacık Yeni Mh.
4570,SAHİBİNDEN ROTAMAVİ KARTAL'DA 1+1 DAİRE,75,1+1,5.500,Yakacık,Yakacık Çarşı Mh.
4571,PROLİNE'DAN KARTAL SOĞANLIK' DA 3.KAT 2+1 BALKONLU KİRALIK,110,2+1,6.000,Soğanlık,Orta Mah.
4572,"3+1 KARLIKTEPE'DE, KAPALI OTOPARKLI,GENİ Ş,FERAH,SIFIR DAİRE",130,3+1,8.000,Esentepe,Karlıktepe Mh.
4573,KARTAL MERKEZ DE KİRALIK 3+1 DAİRE,115,3+1,8.250,Esentepe,Karlıktepe Mh.
4574,Deniz Manzaralı Eşyalı Kiralık,110,2+1,8.000,Rahmanlar, (Atalar)Kordonboyu Mah.
4575,PROPAVİSTA'DA DENİZ MANZARALI METROYA 100 M. KİRALIK 1+1 DAİRE,59,1+1,6.000,Yakacık,Cumhuriyet Mah.
4576,KARTAL MESA E5 ÜZERİNDE MANZARALI LÜX 3+1 FIRSAT DAİRE EMRAHEFE,168,3+1,12.500,Yakacık,Cumhuriyet Mah.
4577,"ASY YAPI DAN,KISMİ EŞYALI,3+2,DUBL­EX..AÇIKLAMAYI OKUYUNUZ...",180,3+2,11.000,Esentepe,Karlıktepe Mh.
4578,ADLİYE - HASTANE YAKINI EŞYALI KİRALIK 2+1 DAİRE - METRO 12 DK,90,2+1,5.950,Orhantepe,Cevizli Mah.
4579,KİRALİK 3+1 125NET 150 BRÜT LÜKS DAIRE,150,3+1,10.500,Yakacık,Cumhuriyet Mah.
4580,Kartal Soğanlık Gümüşpınar mahallesi Pınar Sitesi kiralık daire,120,3+1,5.500,Soğanlık,Gümüşpınar Mh.
4581,ROYAL GARDEN KARTAL TEK YETKİLİDEN YÜKSEK KAT 2+1 KAPALI MUTFAK,128,2+1,13.000,Esentepe,Karlıktepe Mh.
4582,DBA MESA KARTALL KİRALIK YÜKSEK KAT 1+1 BÜYÜK TİP BOŞ,80,1+1,7.500,Yakacık,Cumhuriyet Mah.
4583,KARTAL TOPSELVİ 4+1 DUBLEX,150,4+1,11.000,Topselvi,
4584,KARTAL UĞURMUMCU FERA LİFE SİTESİNDE 2+1 KİRALIK BAHÇE KATI,115,2+1,9.400,Uğurmumcu,Uğur Mumcu Mh.
4585,KARTAL ŞEHRİ DENİZ'DE ADALAR MANZARALI KİRALIK 3+1 DAİRE,177,3+1,15.000,Yakacık,Hürriyet Mh.
4586,Eşyalı faturalar dahil kiralık 1+1,65,1+1,8.000,Dragos,Orhantepe Mah.
4587,temiz daire,130,3+1,5.800,Uğurmumcu,Uğur Mumcu Mh.
4588,Kiralık İstmarina 1+0 Studio For Rent,45,1+0,8.600,Rahmanlar, (Atalar)Kordonboyu Mah.
4589,RED PARTNERS DEN KARTALDA KİRALIK 3+1 DAİRE,150,3+1,7.500,Rahmanlar, (Atalar)Kordonboyu Mah.
4590,AND PASTELDE KİRALIK YÜKSEK KAT KISMİ DENİZ MANZARALI DAİRE,67,1+1,6.500,Esentepe,
4591,Mai Residence B Blok Balkonlu Kiralık Daire,66,1+1,6.600,Topselvi,Yalı Mh.
4592,MESA KARTALL DA KİRALIK 2.KAT 2+1 DAİRE,112,2+1,9.300,Yakacık,Cumhuriyet Mah.
4593,اجاره واحد دو خوابه فول اشیالی-Full furnished 2+1 For Rent,85,2+1,12.000,Yakacık,Cumhuriyet Mah.
4594,3K'DAN UPRİSE ELİTE KONUTLAR TAM CAM GÜNEY CEPHE METRO YANI 3+1,145,3+1,13.500,Soğanlık,Soğanlık Yeni Mh.
4595,CEVİZLİ DRAGOSTA 4+1 KİRALIK DAİRE,170,4+1,15.000,Dragos,Orhantepe Mah.
4596,KARTAL ŞEHR-İ DENİZ PROJESİN'DE KİRALIK 2+1 EŞYALI DAİRE,90,2+1,9.000,Yakacık,Hürriyet Mh.
4597,Milax dan Kartal TEKNİKYAPI UPLİFE da D Blok Farkıyla Kiralık1+1,70,1+1,5.800,Soğanlık,Orta Mah.
4598,Kartal Mesa Full Deniz Manzaralı Kiralık 2+1 Daire,111,2+1,9.300,Yakacık,Cumhuriyet Mah.
4599,AC MOMENT YETKİLİ SATIŞ OFİSİNDEN 2+1 KİRALIK DAİRE,125,2+1,9.150,Soğanlık,Soğanlık Yeni Mh.
4600,KARTAL YAKAÇIK 2+1 FULLL EŞYALI DENİZ MANZARALIK 8 KAT OTOPARKLI,115,2+1,7.000,Yakacık,Yakacık Çarşı Mh.
4601,Kiralık kartal 101 اجاره یکخوابه в аренду,75,1+1,6.300,Yakacık,Cumhuriyet Mah.
4602,REMLAKS'tan CUMHURİYET MAH. CADDE ÜZERİ KİRALIK SIFIR 3+1 DAİRE,120,3+1,7.500,Yakacık,Cumhuriyet Mah.
4603,İSTMARİNA KONUT BLOKLARI KİRALIK 1+1 DENİZ MANZARALI YÜKSEK KAT,65,1+1,13.000,Rahmanlar, (Atalar)Kordonboyu Mah.
4604,KORDONBOYU SAHİLDE SAHİBİNDEN KİRALIK 3+1 DAİRE,115,3+1,6.500,Rahmanlar, (Atalar)Kordonboyu Mah.
4605,Kartal Sahile yakın EŞYALI 3+1 Geniş Aile Apartmanında Daire,140,3+1,7.950,Esentepe,Karlıktepe Mh.
4606,Boş kiralık 1+0 denize yürüme mesafe,55,1+0,4.999,Topselvi,Yunus Mah.
4607,KARTAL DRAGOS SAHİL'DE 120m² 3+1 KİRALIK DAİRE,120,3+1,6.250,Dragos,Orhantepe Mah.
4608,DENGE KARTAL'DA HAVUZLU LÜX KİRALIK 2+1 DAİRE,100,2+1,6.500,Soğanlık,Gümüşpınar Mh.
4609,KARTAL SOĞANLIK CADDESİ 140 m2 ASANSÖRLÜ 3+1 KİRALIK DAİRE,140,3+1,7.000,Esentepe,Karlıktepe Mh.
4610,ROYAL'DEN METRO 8_DK A'DAN Z'YE FULL EŞYALI ÖZEL TERASLI DUBLEKS,110,2+1,9.750,Topselvi,Yalı Mh.
4611,Kartal Dap Teras Kule Metro Yakını Balkonlu 1+1 Kiralık Daire,85,1+1,6.200,Topselvi,
4612,Çukurova Tower Projesi'nde Ferah Kiralık 1+1 Daire,72,1+1,6.250,Topselvi,Yalı Mh.
4613,KARTAL İST MARİNA YÜKSEK KAT BALKONLU KİRALIK STÜDYO,45,1+0,6.000,Rahmanlar, (Atalar)Kordonboyu Mah.
4614,NEHİRDEN YAKACIK YENİ MAH CADDE ÜSTÜNDE 3+1 80 M2 KİRALIK DAİRE,105,3+1,7.750,Yakacık,Yakacık Yeni Mh.
4615,AND PASTEL GÜNCEL İLAN 38. KAT BÜYÜK TİP 1+1 KİRALIK BOŞ DAİRE,72,1+1,7.000,Esentepe,
4616,manzara kartal Kiralık daire,80,2+1,6.500,Yakacık,Hürriyet Mh.
4617,Tual Adalar'da çift banyolu 3+1 Daire,120,3+1,12.000,Yakacık,Yakacık Yeni Mh.
4618,ELİT EMLAK'TAN DEPREM SONRASI BİNADA KİRALIK 3+1 DAİRE,110,3+1,10.000,Uğurmumcu,Uğur Mumcu Mh.
4619,Kartal Mai Residence'de Deniz Manzaralı 1+1 72 m2 Kiralık,72,1+1,7.650,Topselvi,Yalı Mh.
4620,E-5 VE METROYA 5 DK. GÜVENLİKLİ KAPICILI OTOPARKLI SİTE İÇİ 3+1,120,3+1,4.750,Yakacık,Cumhuriyet Mah.
4621,KEMAL DEN YAKACIK YILDIZPARK MANZARADA KİRALIK 2+1 DAİRE 11.KAT,100,2+1,7.000,Yakacık,Yakacık Yeni Mh.
4622,PEGA KARTAL RESİDENCE METRO DİBİNDE SÜPER KONUMDA KİRALIK 3+1,177,3+1,13.000,Soğanlık,Soğanlık Yeni Mh.
4623,GENİŞ AİLELERE ÖZEL PANAROMİK DENİZ MANZARALI 4+1 KİRALIK DAİRE,225,4+1,8.550,Soğanlık,Soğanlık Yeni Mh.
4624,Kartal Diamond life'da Deniz-Adalar manzaralı KİRALIK 3+1 Daire,186,3+1,13.000,Yakacık,Yakacık Çarşı Mh.
4625,MERTCAN'DAN ANKASTRELİ 180m2 MÜSTAKİL KONFORUNDA 3+1 DUBLEKS,180,3+1,8.500,Soğanlık,Gümüşpınar Mh.
4626,VAROLPARK E-5 5_DK AİLE SİTESİ HAVUZLU-GÜVENLİK GENİŞ ÖZEL 3+1 !,175,3+1,15.000,Topselvi,
4627,ENDER GAYRİMENKULDEN MERKEZİ KONUMDA KİRALIK LÜX 2+1 EV,80,2+1,5.250,Topselvi,
4628,DENGE KARTAL'DA HAVUZLU KİRALIK 3+1 LÜX DAİRE,126,3+1,9.000,Soğanlık,Gümüşpınar Mh.
4629,SAHİBİNDEN KİRALIK DAİRE,110,2+1,6.000,Soğanlık,Orta Mah.
4630,DAP TERAS KULE | SIFIR BEYAZ EŞYALI KİRALIK BALKONLU 1+1,92,1+1,7.200,Topselvi,
4631,AC MOMENT YETKİLİ SATIŞ OFİSİNDEN 2+1 KİRALIK DAİRE,125,2+1,10.250,Soğanlık,Soğanlık Yeni Mh.
4632,"ASY YAPI..KARTAL MERKEZ DE,NEZİH KONUM,FULL LÜX EŞYALI,GENİŞ,2+1",110,2+1,7.750,Esentepe,Karlıktepe Mh.
4633,KARTALDA 2+1 EŞYALI DAİRE,140,2+1,10.000,Yakacık,Hürriyet Mh.
4634,MANZARA ADALAR PROJE UZMANI PELİN IŞINDAN MANZARALI EŞYALI 1+1,95,1+1,9.000,Esentepe,Karlıktepe Mh.
4635,MARMARA KULEDE KİRALIK 1+1 OFİS,75,1+1,5.500,Esentepe,
4636,KISMET ten KARTAL KIZILAY CAD KİRALIK 3+1 DAİRE,130,3+1,6.000,Rahmanlar, (Atalar)Petroliş Mh.
4637,Site İçerisinde Ful Eşyalı 1+1 Daire,60,1+1,6.500,Soğanlık,Gümüşpınar Mh.
4638,Kartal Soğanlıkta Metroya 5 dk 4+1 Dublex Kiralk Daire Acil,230,4+1,15.000,Soğanlık,Soğanlık Yeni Mh.
4639,KARTAL PETROLISTE 3+1 Ici sifilanmis 140m2 cift WCli 3.kat,145,3+1,8.250,Rahmanlar, (Atalar)Petroliş Mh.
4640,PropaVista'da Metroya 100 Metre Mesafede Kiralık 1+1 Daire,59,1+1,6.000,Yakacık,Cumhuriyet Mah.
4641,AC MOMENT YETKİLİ SATIŞ OFİSİNDEN 4+1 KİRALIK DUBLEKS DAİRE,314,4+1,25.000,Soğanlık,Soğanlık Yeni Mh.
4642,MANZARA ADALAR UZMANI PELİN IŞINDAN EN DENİZ MANZARALI DAİRESİ,90,1+1,7.000,Esentepe,Karlıktepe Mh.
4643,BAGDATTAN MİNİBÜSE MARMARAYA ÇOK YAKIN MARKETLER CİVARINDA,100,2+1,5.000,Esentepe,Karlıktepe Mh.
4644,"DİRECT'TEN,HA­STANE,ADLİYE VE METRO'YA KOMŞU,7/24 GÜVENLİKLİ SİTE",115,3+1,7.300,Orhantepe,Cevizli Mah.
4645,ÇUKUROVA BALKON'DA ADLİYE'NİN KARŞISINDA BALKONLU KİRALIK 1+1,67,1+1,6.950,Soğanlık,Soğanlık Yeni Mh.
4646,SC'DEN KARTAL DA 1+1 EŞYALI İSTER KONUT İSTER OFİS HARİKA KONUM,65,1+1,7.000,Soğanlık,Orta Mah.
4647,KARTAL ŞEHRİ DENİZ ÖZEL YAPIM MANZARALI KİRALIK 3+1 DAİRE,177,3+1,12.000,Yakacık,Hürriyet Mh.
4648,DAP YAPI İSTMARİNA FUL EŞYALI KISA DÖNEM KİRALAMA AVANTAJI 1+0,45,1+0,7.500,Rahmanlar, (Atalar)Kordonboyu Mah.
4649,LÜX SİTEDE KİRALIK DAİRE,126,3+1,9.000,Soğanlık,Gümüşpınar Mh.
4650,Güvenlikli Geniş Emsalsiz Daire,145,3+1,15.000,Rahmanlar, (Atalar)Atalar Mah.
4651,MERT GAYRİMENKULDEN KARTAL ORHAN TEPEDE KİRALIK DUPLEX DAİRE,150,3+2,13.000,Dragos,Orhantepe Mah.
4652,Dap Teras Kule Deniz Manzaralı Geniş Teraslı 3+1 Daire + KDV,212,3+1,10.200,Topselvi,
4653,Kartal Karlıktepe Royal Garden Kısmi Deniz Manzaralı 2+1 Daire,125,2+1,10.000,Esentepe,Karlıktepe Mh.
4654,FAVORİCİLER ACELE EDİN !!,103,2+1,6.000,Orhantepe,Cevizli Mah.
4655,KAYA EMLAK'TAN MERKEZDE SİTE 3+1 KAROT ÇALİŞMASI MAHKEMELİK,135,3+1,6.000,Uğurmumcu,Uğur Mumcu Mh.
4656,AC MOMENT YETKİLİ SATIŞ OFİSİNDEN 1+1 KİRALIK DAİRE,75,1+1,7.250,Soğanlık,Soğanlık Yeni Mh.
4657,Emre Paktaş'tan panaromik Adalar ve deniz manzaralı önü açık,128,2.5+1,8.500,Soğanlık,Soğanlık Yeni Mh.
4658,UĞURMUMCU MERKEZDE NEZİH SİTE,120,3+1,8.000,Uğurmumcu,Uğur Mumcu Mh.
4659,AC MOMENT REZİDANS'DA 25.KAT 2+1 KİRALIK DAİRE-OFİS,100,2+1,10.250,Soğanlık,Soğanlık Yeni Mh.
4660,Kartal Kentplus Residence Daire yada Ofis 2+1 Çukurova Balkon Ko,113,2+1,8.000,Soğanlık,Soğanlık Yeni Mh.
4661,REMLAKS'tan DENİZ MANZARALI SİTE İÇERİSİNDE İSKANLI 2+1 DAİRE,84,2+1,5.750,Yakacık,Hürriyet Mh.
4662,PROPAVİSTA'DA METROYA 100 M. KDV AVANTAJLI KİRALIK 2+1 HOME OFİS,118,2+1,8.000,Yakacık,Cumhuriyet Mah.
4663,KARTAL SOYAK EVREKA DA KİRALIK YÜKSEK GİRİŞ BÜYÜK TİP 2+1,75,2+1,6.500,Soğanlık,Soğanlık Yeni Mh.
4664,KARTAL ORTA MAH.'DE EŞYALI KİRALIK 2+1 DAİRE,120,2+1,5.800,Soğanlık,Orta Mah.
4665,KARTAL ESENTEPE MAHALLESİNDE KİRALIK 4+1 ÇATI DUBLEKS DAİRE,160,4+1,7.500,Esentepe,
4666,MERTCAN'DAN SİTE İÇİ GÜVENLİKLİ 1+1 AÇIK HAVUZLU LÜKS DAİRE,73,1+1,5.500,Yakacık,Yakacık Yeni Mh.
4667,GW MEVAL / DENGE KARTALDA DENİZ MANZARALI LÜKS KİRALIK 3+1 DAİRE,126,3+1,9.000,Soğanlık,Gümüşpınar Mh.
4668,Dubleks kiralık daire,200,3.5+1,8.500,Soğanlık,Gümüşpınar Mh.
4669,Beyaz Eşya lı Dap Yapı Adam Kule kiralık 1+0 Daire,45,1+0,4.500,Orhantepe,Cevizli Mah.
4670,Emre Paktaş'tan Moment İstanbul'da deniz manzaralı giyinme odalı,128,2.5+1,8.250,Soğanlık,Soğanlık Yeni Mh.
4671,Kartal Mai Residence B Blok 1+0 Geniş Ofis veya Konut,66,1+1,5.250,Topselvi,Yalı Mh.
4672,ÜMİT EMLAKTAN KİRALIK FULL YAPILI DAİRE,130,3+1,7.000,Uğurmumcu,Uğur Mumcu Mh.
4673,İSTMARİNA'DA LUX EŞYALI FULL DENİZ MANZARALI 3.5 + 1 GENİŞ DAİRE,200,3.5+1,28.500,Rahmanlar, (Atalar)Kordonboyu Mah.
4674,KARTAL V.D.ARKASINDA METROYA:200METRE MESAFEDE,105,3+1,6.950,Yakacık,Hürriyet Mh.
4675,MANZARA ADALAR UZMANI PELİN IŞIN'DAN KİRALIK 1+1 ÇİFT CEPHE,88,1+1,7.250,Esentepe,Karlıktepe Mh.
4676,AC MOMENT'TE KİRALIK GENİŞ 4+1 DUBLEKS,314,4+1,22.500,Soğanlık,Soğanlık Yeni Mh.
4677,Kale daire 2+1,85,2+1,11.000,Topselvi,
4678,KARTAL PANORAMA DENİZ ve ADALAR MANZARALI 2+1 LÜKS KİRALIK SIFIR,160,2+1,11.000,Esentepe,Karlıktepe Mh.
4679,PEGA KARTAL REZİDANS'TA DENİZ VE ADA MANZARALI 4+1 DAİRE,220,4+1,25.000,Soğanlık,Soğanlık Yeni Mh.
4680,"DAİRE KARTAL'DA KİRALIK GENİŞ BALKONLU, DENİZ MANZARALI 2+1",107,2+1,9.500,Topselvi,Yalı Mh.
4681,PETROLİŞ EMEKTAR SOKAK 3+1 KİRALIK DAİRE,130,3+1,10.500,Rahmanlar, (Atalar)Petroliş Mh.
4682,ESYALI DAIRE BEYHANDAN UGURMUMCU MERKEZDE KIRALIK DAIRE 2+1,100,2+1,6.250,Uğurmumcu,Uğur Mumcu Mh.
4683,KARTAL İSTMARİNA DENİZ MANZARALI EŞYALI KİRALIK 1+1 DAİRE,65,1+1,14.500,Rahmanlar, (Atalar)Kordonboyu Mah.
4684,İSTMARİNA'DA KONUTLARDA EŞYALI KİRALIK 1+1 SUNA ÇELİK'DEN!!,66,1+1,12.000,Rahmanlar, (Atalar)Kordonboyu Mah.
4685,Kartal Ugurmumcu da 3+1 kiralık daire,150,3+1,10.500,Uğurmumcu,Uğur Mumcu Mh.
4686,3K'DAN UPRİSE ELİTE KONUTLAR METRO AVM IKEA HASTANE YANI 2+1,96,2+1,8.750,Soğanlık,Soğanlık Yeni Mh.
4687,İST MARİNA'DA 1+1 EŞYALI KİRALIK DAİRE,56,1+1,12.000,Rahmanlar, (Atalar)Kordonboyu Mah.
4688,Kartal 101'de Kiralık Deniz Manzaralı 1+1 Daire,77,1+1,6.300,Yakacık,Cumhuriyet Mah.
4689,-SAHİBİNDEN 3+1(165m2)DENİZ MANZARALI-TERAS-E.­BANYO-KLİMA-ANKSTR,165,3+1,12.000,Soğanlık,Gümüşpınar Mh.
4690,"DENİZ MANZARALI, GÜVENLİKLİ VE NEZİH SİTEDE",134,3+1,11.000,Rahmanlar, (Atalar)Atalar Mah.
4691,FREKANS'TAN İSTMARİNA'DA KİRALIK ÇİFT CEPHE DENİZ MANZARALI 1+0,43,1+0,6.250,Rahmanlar, (Atalar)Kordonboyu Mah.
4692,Mesa kartall sahibinden 1+1 kiralık,70,1+1,6.500,Yakacık,Cumhuriyet Mah.
4693,İstmarina Kiralık Daire,46,1+0,6.000,Rahmanlar, (Atalar)Kordonboyu Mah.
4694,MALTEPE CEVİZLİ MAH.EŞYALI MOBİLYALI MÖBLELİ 2+1 DAİRE,85,2+1,6.000,Rahmanlar, (Atalar)Atalar Mah.
4695,ARTE EMLAK | ÇARŞI'YA YAKIN KONUMDA 140 M² 3+1,140,3+1,9.000,Rahmanlar, (Atalar)Yukarı Mh.
4696,İstmarina Kiralık 2+1 For Rent At Istmarina,75,2+1,15.150,Rahmanlar, (Atalar)Kordonboyu Mah.
4697,İstmarina Kiralık Daire,46,1+0,6.000,Rahmanlar, (Atalar)Kordonboyu Mah.
4698,EMLAK DÜNYASINDAN TEK YETKİLİ SİTEDE 3+1 KİRALIK DAİRE,110,3+1,6.200,Yakacık,Cumhuriyet Mah.
4699,Sahibinden kiralık Yakacık çarşı Mh de 3+1 daire,95,3+1,4.600,Yakacık,Yakacık Çarşı Mh.
4700,TUAL ADALAR'DA DENİZ MANZARALI KİRALIK 2+1 SIFIR ARAKAT DAİRE,133,2+1,10.900,Yakacık,Yakacık Yeni Mh.
4701,META PARTNERS'DAN TOPSELVİ MAH.MERKEZİ KONUMDA KİRALIK 4+1 DAİRE,170,4+1,9.200,Topselvi,
4702,TURGUT EMLAK'TAN,118,3+1,11.100,Topselvi,Çavuşoğlu Mh.
4703,MANZARA ADALARDA DENİZ MANZARALI 1+1 KİRALIK,95,1+1,8.000,Esentepe,Karlıktepe Mh.
4704,grand Tower kartal kiralik 4+1,200,4+1,14.000,Soğanlık,Gümüşpınar Mh.
4705,Sahibinden Soyakta eşyalı 2+1 kiralık daire,64,2+1,7.000,Soğanlık,Soğanlık Yeni Mh.
4706,Güvenlikli sitede Selvi Evleri 3+1 ( Baykur ) YÜKSEK GİRİŞ KAT,120,3+1,7.000,Topselvi,
4707,KARTAL ATALARDA CADDEYE CEPHE KULLANIŞLI KİRALIK 5.KAT 120m2 3+1,120,3+1,7.500,Rahmanlar, (Atalar)Atalar Mah.
4708,Vizyon Kartal Deniz Manzaralı Stüdyo 1+0 Kiralık Daire,59,1+0,4.750,Esentepe,
4709,TUAL ADALAR KARTAL DA DENİZ MANZARALI TERASLI KİRALIK 2+1 DAİRE,110,2+1,12.000,Yakacık,Yakacık Yeni Mh.
4710,KARTAL DRAGOS SAHİL'DE 120m² 3+1 KİRALIK DAİRE,120,3+1,6.250,Dragos,Orhantepe Mah.
4711,FREKANS'TAN İSTMARİNA'DA KİRALIK DENİZ MANZARALI 3.5+1,190,3.5+1,24.000,Rahmanlar, (Atalar)Kordonboyu Mah.
4712,KARTAL PETROLİŞ DE MARMARAY YAKINI KİRALIK 3+1,128,3+1,6.500,Rahmanlar, (Atalar)Petroliş Mh.
